cbo,mfa,buggy
8,0,TRUE
2,0.921569,TRUE
1,0.764706,TRUE
10,0,TRUE
0,0.8,FALSE
11,0.6875,TRUE
2,0.886792,TRUE
6,0.894737,TRUE
0,0.894737,FALSE
0,0,TRUE
0,0,TRUE
1,0.555556,TRUE
4,0,TRUE
5,0,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
6,0,TRUE
13,0,TRUE
0,0,FALSE
3,0.959184,TRUE
0,0,FALSE
2,0,TRUE
2,0.959184,TRUE
13,0,TRUE
2,0.839286,TRUE
3,0.854167,TRUE
3,0.895238,TRUE
4,0,TRUE
2,0.87037,TRUE
3,0.87234,TRUE
0,0,FALSE
3,0.891304,TRUE
3,0.953488,TRUE
3,0.953488,TRUE
3,0.953488,TRUE
3,0.953488,TRUE
3,0.953488,TRUE
7,0,TRUE
11,0,TRUE
3,0.911111,TRUE
2,0.854545,TRUE
3,0.931818,TRUE
7,0,TRUE
11,0.909091,TRUE
2,0,TRUE
9,0,TRUE
7,0.909091,TRUE
2,0,TRUE
6,0,TRUE
0,0,TRUE
2,0.959184,TRUE
2,0.854545,TRUE
3,0,FALSE
0,0,FALSE
10,0,TRUE
6,0,FALSE
2,0,TRUE
6,0.428571,TRUE
7,0,TRUE
2,0.886792,TRUE
6,0,FALSE
9,0,TRUE
8,0,TRUE
11,0,TRUE
5,0,TRUE
5,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
4,0,TRUE
0,0,FALSE
3,0,TRUE
2,0.921569,TRUE
2,0,TRUE
0,0,FALSE
5,0,TRUE
0,0,FALSE
3,0,FALSE
2,0.94,TRUE
8,0,FALSE
0,0,FALSE
0,0,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
0,0,FALSE
2,0,TRUE
0,0,FALSE
2,0.979167,TRUE
3,0.979167,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
5,0,TRUE
6,0,TRUE
0,0,FALSE
2,0.921569,TRUE
2,0.94,TRUE
2,0.94,TRUE
9,0,TRUE
2,0.979167,TRUE
2,0.979167,TRUE
0,0,FALSE
2,0.94,TRUE
2,0.959184,TRUE
2,0.959184,TRUE
2,0.959184,TRUE
2,0.959184,TRUE
2,0,TRUE
2,0.959184,TRUE
0,0,FALSE
1,0,TRUE
0,0,FALSE
0,0,FALSE
5,0,TRUE
2,0,TRUE
0,0,FALSE
2,0,TRUE
4,0,TRUE
0,0,FALSE
0,0,FALSE
3,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
3,0,TRUE
3,0,TRUE
3,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
3,0,TRUE
0,0,FALSE
0,0,FALSE
1,0,FALSE
5,0,TRUE
0,0,FALSE
1,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
2,0,TRUE
1,0,TRUE
0,0,FALSE
5,0,TRUE
3,0,TRUE
3,0,TRUE
3,0,TRUE
3,0,TRUE
2,0,FALSE
0,0,FALSE
1,0,FALSE
5,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,TRUE
6,0,TRUE
3,0,TRUE
0,0,FALSE
2,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
2,0,TRUE
2,0,TRUE
2,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
1,0,TRUE
1,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
0,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
1,0,FALSE
0,0,FALSE
0,0,FALSE
0,0,FALSE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
2,0,TRUE
