dit,cbo,rfc,ca,moa,ic,max_cc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1.0,2.0,4.0,1.0,0.0,0.0,0.0,False,False,0.3706912766248717,False,0.2,False,0.4220543163208022,AdaBoost,AdaBoost,False,0.4212460631333832
2.0,5.0,66.0,1.0,0.0,0.0,16.0,False,False,0.37643088119523055,False,0.1,False,0.08085599676870821,AdaBoost,AdaBoost,False,0.08249604896149912
2.0,12.0,81.0,4.0,5.0,1.0,3.0,False,False,0.4979941402504525,False,0.5,True,0.7501480437764334,AdaBoost,AdaBoost,True,0.7484708262583049
3.0,3.0,21.0,2.0,1.0,1.0,14.0,False,False,0.10988225431189948,False,0.1,False,0.04097890123569367,AdaBoost,AdaBoost,False,0.041426663111139524
1.0,13.0,60.0,13.0,0.0,0.0,8.0,True,True,0.7364426883093854,False,0.3,False,0.3448994488854369,Voting,AdaBoost,False,0.3469849262976614
1.0,7.0,66.0,1.0,1.0,0.0,6.0,False,False,0.4332905833163585,False,0.0,False,0.10580437937349274,AdaBoost,AdaBoost,False,0.10746549811966043
1.0,2.0,25.0,1.0,0.0,0.0,3.0,False,False,0.04352308510932428,False,0.1,False,0.29168978898408005,AdaBoost,AdaBoost,False,0.289865040622762
2.0,15.415937,65.903873,7.317077999999999,2.82505,1.0,8.106042,True,True,0.8191395601486948,True,0.6,True,0.7155335154819277,AdaBoost,AdaBoost,True,0.7159548709232534
2.755534,8.409193,48.300549,0.0,3.332747,1.7103709999999999,1.988618,True,False,0.09650237518898974,False,0.4,False,0.283553506412802,AdaBoost,AdaBoost,False,0.28266652224437155
1.0,3.0,11.0,1.0,0.0,0.0,2.0,False,False,0.04421726910913515,False,0.1,False,0.16784421508947275,AdaBoost,AdaBoost,False,0.16692379506455776
1.0,1.0,22.0,0.0,0.0,0.0,1.0,False,False,0.03873730086620916,False,0.0,False,0.010561445570452143,AdaBoost,AdaBoost,False,0.010699825662090793
1.907809,17.0,63.091413,2.898057,5.0,0.172956,4.568544999999999,True,True,0.9223028673098528,True,0.8,True,0.8078797878295914,AdaBoost,AdaBoost,True,0.8084974399308831
2.0,3.0,16.0,2.0,5.0,0.0,1.0,False,False,0.3687147228845145,False,0.0,False,0.222821378379483,AdaBoost,AdaBoost,False,0.22333194331090217
1.488743,15.581261999999999,82.68233000000002,2.871927,2.474314,0.015759,5.21773,True,True,0.9105279685294564,True,0.7,True,0.8839779128684889,AdaBoost,AdaBoost,True,0.8838878317950809
2.0,8.0,60.0,1.0,1.0,0.0,2.0,False,False,0.3907938236650735,False,0.2,False,0.2591580140598231,AdaBoost,AdaBoost,False,0.2597975572434725
2.0,10.970802,65.076823,2.1401950000000003,3.328381,1.0,10.975096,True,True,0.7949632787771522,False,0.4,True,0.6162941146352053,AdaBoost,AdaBoost,True,0.6169841647930644
2.0,7.0,28.0,2.0,1.0,1.0,3.0,False,False,0.05927670161346199,False,0.1,False,0.2757667395826597,AdaBoost,AdaBoost,False,0.2741390976885909
2.0,5.0,31.0,0.0,0.0,0.0,5.0,False,False,0.07461187964725673,False,0.0,False,0.04167763011409949,AdaBoost,AdaBoost,False,0.04178633525272755
1.14503,18.700368,64.56421999999999,1.29683,1.0,0.22259099999999998,11.719567,True,True,0.9432062091309832,True,0.6,True,0.5442704523013666,AdaBoost,AdaBoost,True,0.5465397764527847
1.0,16.0,74.0,4.0,7.0,0.0,7.0,False,True,0.9294375100087554,True,0.6,True,0.6562462887539163,AdaBoost,AdaBoost,True,0.6576715596917492
2.975131,9.510381,17.133176000000002,0.635335,0.0,0.69091,3.142675,True,False,0.07228048223498032,False,0.5,True,0.5665076709648694,AdaBoost,AdaBoost,True,0.563653931315605
1.0,17.0,53.0,2.0,1.0,0.0,16.0,True,True,0.9075102615415176,False,0.4,False,0.4768763451633128,Voting,AdaBoost,False,0.4791371414841988
1.0,1.0,9.0,1.0,0.0,0.0,1.0,False,False,0.030793883657452805,False,0.0,False,0.016592505645725453,AdaBoost,AdaBoost,False,0.016636086526401417
