cbo,ca,npm,dam,mfa,max_cc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1.0,1.0,0.0,0.0,0.0,0.0,True,False,0.4866076780488235,False,0.5,True,0.8,AdaBoost,Voting,False,0.4866076780488235
4.0,3.0,0.0,0.0,0.0,0.0,True,True,0.8439870652808562,True,0.6,True,0.8,Voting,Voting,True,0.8439870652808562
4.0,3.0,0.0,0.0,0.0,0.0,True,True,0.8439870652808562,True,0.6,True,0.8,Voting,Voting,True,0.8439870652808562
2.0,2.0,0.0,0.0,0.0,0.0,True,True,0.7862883121722746,False,0.5,True,0.7,Voting,Voting,True,0.7862883121722746
6.0,3.0,7.0,0.0,0.0,1.0,True,True,0.9999999999607312,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9999999999607312
7.0,1.0,1.0,1.0,0.0,1.0,True,True,0.9892784756457044,True,0.9,True,0.8999999999999999,Voting,Voting,True,0.9892784756457044
5.0,2.0,6.0,1.0,0.85,2.0,True,True,0.999999876648142,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.999999876648142
20.0,2.0,6.0,1.0,0.8888889999999999,9.0,True,True,0.99999471735356,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.99999471735356
3.0,2.0,9.0,0.0,0.0,7.0,True,True,0.9999999834912942,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9999999834912942
4.0,1.0,3.0,1.0,0.9895290000000001,2.0,True,True,0.9962837875216516,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9962837875216516
13.0,6.0,1.0,1.0,0.0,6.0,True,True,0.6686751587581954,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.6686751587581954
1.280052,1.277089,0.0,0.180152,0.0,9.069754,False,False,0.0027405847003051965,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0027405847003051965
3.0,1.0,8.0,1.0,0.590909,2.0,True,True,0.9999999998019141,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9999999998019141
1.730543,1.019588,0.0,0.167878,0.344886,6.994584,False,False,6.120706832562628e-05,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,6.120706832562628e-05
